timestamp, ref_phi, ref_theta, ref_psi, ref_x, ref_y, ref_z
1728975648.905927185, 0.013655, -0.0207884, 0, 10.6189, 5.91869, 6.1649
1728975648.907955794, 0.013655, -0.0207884, 0, 10.6189, 5.91869, 6.1649
1728975648.910000905, 0.013655, -0.0207884, 0, 10.6189, 5.91869, 6.1649
1728975648.912025057, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.913930771, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.915934270, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.917923754, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.919920307, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.921918581, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.923920583, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.925960586, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.927915445, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.929929321, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.931920023, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.933914139, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.935949314, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.937917384, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.939918910, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.941936558, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.943955422, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.945940117, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.947947246, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.949937276, 0.0133834, -0.020502, 0, 10.6189, 5.91869, 6.1649
1728975648.951927207, 0.0133834, -0.020502, 0, 10.5574, 5.88328, 6.13122
1728975648.953920639, 0.0133834, -0.020502, 0, 10.5574, 5.88328, 6.13122
1728975648.955917369, 0.0133834, -0.020502, 0, 10.5574, 5.88328, 6.13122
1728975648.957916443, 0.0133834, -0.020502, 0, 10.5574, 5.88328, 6.13122
1728975648.959922828, 0.0133834, -0.020502, 0, 10.5574, 5.88328, 6.13122
1728975648.961920135, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.963915657, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.965915382, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.967918684, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.969912155, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.971910980, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.973912325, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.975932152, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.977911446, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.979911180, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.981945513, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.983983478, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.985928112, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.987954142, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.989931315, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.991922423, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.993939387, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.995927082, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.997923513, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975648.999921715, 0.0131225, -0.0202292, 0, 10.5574, 5.88328, 6.13122
1728975649.001938067, 0.0131225, -0.0202292, 0, 10.4954, 5.84754, 6.09736
1728975649.003924368, 0.0131225, -0.0202292, 0, 10.4954, 5.84754, 6.09736
1728975649.005916922, 0.0131225, -0.0202292, 0, 10.4954, 5.84754, 6.09736
1728975649.007956665, 0.0131225, -0.0202292, 0, 10.4954, 5.84754, 6.09736
1728975649.009932657, 0.0131225, -0.0202292, 0, 10.4954, 5.84754, 6.09736
1728975649.011918147, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.013913402, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.015912944, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.017915239, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.019913000, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.021924542, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.023941016, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.025930613, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.027935294, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.029939992, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.031922486, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
